timestamp,level,module,method,line,component,event_type,action,duration_ms,parent_event_id,agent,system,metadata
2026-04-27T17:47:22.579,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 23/25 complete""}"
2026-04-27T17:47:22.582,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 24/25 (pages 1151-1200 of 1232)""}"
2026-04-27T17:51:17.210,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 24/25 complete""}"
2026-04-27T17:51:17.211,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 25/25 (pages 1201-1232 of 1232)""}"
2026-04-27T17:56:02.628,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 25/25 complete""}"
2026-04-27T17:56:02.629,INFO,document_converter,_translate_chunked,186,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Merging 25 chunks → CISA Review Manual_ru.pdf""}"
2026-04-27T17:56:25.057,INFO,document_converter,_translate_chunked,190,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translation complete: personas/CISA/raw/CISA Review Manual_ru.pdf""}"
2026-04-27T17:57:54.145,INFO,document_converter,translate_pdf,79,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating CISA Review Manual.pdf → CISA Review Manual_ru.pdf (lang=ru)""}"
2026-04-27T17:57:54.345,INFO,document_converter,_translate_chunked,137,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Using chunked translation: 1232 pages in batches of 50""}"
2026-04-27T17:57:54.347,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 1/25 (pages 1-50 of 1232)""}"
2026-04-27T18:00:01.835,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 1/25 complete""}"
2026-04-27T18:00:01.837,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 2/25 (pages 51-100 of 1232)""}"
2026-04-27T18:02:07.111,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 2/25 complete""}"
2026-04-27T18:02:07.113,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 3/25 (pages 101-150 of 1232)""}"
2026-04-27T18:04:10.982,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 3/25 complete""}"
2026-04-27T18:04:10.983,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 4/25 (pages 151-200 of 1232)""}"
2026-04-27T18:06:11.445,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 4/25 complete""}"
2026-04-27T18:06:11.446,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 5/25 (pages 201-250 of 1232)""}"
2026-04-27T18:08:12.118,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 5/25 complete""}"
2026-04-27T18:08:12.119,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 6/25 (pages 251-300 of 1232)""}"
2026-04-27T18:10:12.930,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 6/25 complete""}"
2026-04-27T18:10:12.931,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 7/25 (pages 301-350 of 1232)""}"
2026-04-27T18:12:13.339,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 7/25 complete""}"
2026-04-27T18:12:13.340,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 8/25 (pages 351-400 of 1232)""}"
2026-04-27T18:14:14.225,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 8/25 complete""}"
2026-04-27T18:14:14.226,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 9/25 (pages 401-450 of 1232)""}"
2026-04-27T18:16:14.387,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 9/25 complete""}"
2026-04-27T18:16:14.389,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 10/25 (pages 451-500 of 1232)""}"
2026-04-27T18:18:15.989,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 10/25 complete""}"
2026-04-27T18:18:15.990,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 11/25 (pages 501-550 of 1232)""}"
2026-04-27T18:20:15.991,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 11/25 complete""}"
2026-04-27T18:20:15.992,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 12/25 (pages 551-600 of 1232)""}"
2026-04-27T18:22:18.202,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 12/25 complete""}"
2026-04-27T18:22:18.205,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 13/25 (pages 601-650 of 1232)""}"
2026-04-27T18:24:18.799,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 13/25 complete""}"
2026-04-27T18:24:18.800,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 14/25 (pages 651-700 of 1232)""}"
2026-04-27T18:26:20.395,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 14/25 complete""}"
2026-04-27T18:26:20.397,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 15/25 (pages 701-750 of 1232)""}"
2026-04-27T18:28:19.404,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 15/25 complete""}"
2026-04-27T18:28:19.405,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 16/25 (pages 751-800 of 1232)""}"
2026-04-27T18:30:19.360,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 16/25 complete""}"
2026-04-27T18:30:19.361,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 17/25 (pages 801-850 of 1232)""}"
2026-04-27T18:32:21.757,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 17/25 complete""}"
2026-04-27T18:32:21.758,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 18/25 (pages 851-900 of 1232)""}"
2026-04-27T18:34:23.524,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 18/25 complete""}"
2026-04-27T18:34:23.525,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 19/25 (pages 901-950 of 1232)""}"
2026-04-27T18:36:22.313,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 19/25 complete""}"
